Delete,time,delete2
Execution time for 11 locations:,0.0000673000,seconds
Execution time for 11 locations:,0.0000444000,seconds
Execution time for 11 locations:,0.0000422000,seconds
Execution time for 11 locations:,0.0000452000,seconds
Execution time for 11 locations:,0.0000457000,seconds
Execution time for 11 locations:,0.0000418000,seconds
Execution time for 11 locations:,0.0000443000,seconds
Execution time for 11 locations:,0.0000432000,seconds
Execution time for 11 locations:,0.0000538000,seconds
Execution time for 11 locations:,0.0000484000,seconds
Execution time for 11 locations:,0.0000539000,seconds
Execution time for 11 locations:,0.0000444000,seconds
Execution time for 11 locations:,0.0000362000,seconds
Execution time for 11 locations:,0.0000338000,seconds
Execution time for 11 locations:,0.0000361000,seconds
Execution time for 11 locations:,0.0000461000,seconds
Execution time for 11 locations:,0.0000430000,seconds
Execution time for 11 locations:,0.0000440000,seconds
Execution time for 11 locations:,0.0000409000,seconds
Execution time for 11 locations:,0.0000918000,seconds
Execution time for 11 locations:,0.0000437000,seconds
Execution time for 11 locations:,0.0000480000,seconds
Execution time for 11 locations:,0.0000427000,seconds
Execution time for 11 locations:,0.0000624000,seconds
Execution time for 11 locations:,0.0000451000,seconds
Execution time for 11 locations:,0.0000463000,seconds
Execution time for 11 locations:,0.0000436000,seconds
Execution time for 11 locations:,0.0000459000,seconds
Execution time for 11 locations:,0.0000409000,seconds
Execution time for 11 locations:,0.0000432000,seconds
Execution time for 11 locations:,0.0000442000,seconds
Execution time for 11 locations:,0.0000555000,seconds
Execution time for 11 locations:,0.0000388000,seconds
Execution time for 11 locations:,0.0000393000,seconds
Execution time for 11 locations:,0.0000458000,seconds
Execution time for 11 locations:,0.0000457000,seconds
Execution time for 11 locations:,0.0000625000,seconds
Execution time for 11 locations:,0.0000614000,seconds
Execution time for 11 locations:,0.0000481000,seconds
Execution time for 11 locations:,0.0000445000,seconds
Execution time for 11 locations:,0.0000372000,seconds
Execution time for 11 locations:,0.0000416000,seconds
Execution time for 11 locations:,0.0000467000,seconds
Execution time for 11 locations:,0.0000361000,seconds
Execution time for 11 locations:,0.0000345000,seconds
Execution time for 11 locations:,0.0000440000,seconds
Execution time for 11 locations:,0.0000440000,seconds
Execution time for 11 locations:,0.0000481000,seconds
Execution time for 11 locations:,0.0000464000,seconds
Execution time for 11 locations:,0.0000395000,seconds
Execution time for 11 locations:,0.0000359000,seconds
Execution time for 11 locations:,0.0000362000,seconds
Execution time for 11 locations:,0.0000452000,seconds
Execution time for 11 locations:,0.0000420000,seconds
Execution time for 11 locations:,0.0000523000,seconds
Execution time for 11 locations:,0.0000507000,seconds
Execution time for 11 locations:,0.0000417000,seconds
Execution time for 11 locations:,0.0000709000,seconds
Execution time for 11 locations:,0.0000433000,seconds
Execution time for 11 locations:,0.0000451000,seconds
Execution time for 11 locations:,0.0000454000,seconds
Execution time for 11 locations:,0.0000462000,seconds
Execution time for 11 locations:,0.0000474000,seconds
Execution time for 11 locations:,0.0000454000,seconds
Execution time for 11 locations:,0.0000432000,seconds
Execution time for 11 locations:,0.0000414000,seconds
Execution time for 11 locations:,0.0000524000,seconds
Execution time for 11 locations:,0.0000412000,seconds
Execution time for 11 locations:,0.0000455000,seconds
Execution time for 11 locations:,0.0000443000,seconds
Execution time for 11 locations:,0.0000572000,seconds
Execution time for 11 locations:,0.0000421000,seconds
Execution time for 11 locations:,0.0000473000,seconds
Execution time for 11 locations:,0.0000440000,seconds
Execution time for 11 locations:,0.0000549000,seconds
Execution time for 11 locations:,0.0000416000,seconds
Execution time for 11 locations:,0.0000442000,seconds
Execution time for 11 locations:,0.0000450000,seconds
Execution time for 11 locations:,0.0000444000,seconds
Execution time for 11 locations:,0.0000443000,seconds
Execution time for 11 locations:,0.0000452000,seconds
Execution time for 11 locations:,0.0000418000,seconds
Execution time for 11 locations:,0.0000455000,seconds
Execution time for 11 locations:,0.0000524000,seconds
Execution time for 11 locations:,0.0000430000,seconds
Execution time for 11 locations:,0.0000428000,seconds
Execution time for 11 locations:,0.0000414000,seconds
Execution time for 11 locations:,0.0000712000,seconds
Execution time for 11 locations:,0.0000460000,seconds
Execution time for 11 locations:,0.0000444000,seconds
Execution time for 11 locations:,0.0000440000,seconds
Execution time for 11 locations:,0.0000426000,seconds
Execution time for 11 locations:,0.0000612000,seconds
Execution time for 11 locations:,0.0000440000,seconds
Execution time for 11 locations:,0.0000449000,seconds
Execution time for 11 locations:,0.0000428000,seconds
Execution time for 11 locations:,0.0000417000,seconds
Execution time for 11 locations:,0.0000438000,seconds
Execution time for 11 locations:,0.0000451000,seconds
Execution time for 11 locations:,0.0000495000,seconds
