Delete,time,delete2
Execution time for 11 locations:,0.0172675000,seconds
Execution time for 11 locations:,0.0174803000,seconds
Execution time for 11 locations:,0.0174839000,seconds
Execution time for 11 locations:,0.0165802000,seconds
Execution time for 11 locations:,0.0179497000,seconds
Execution time for 11 locations:,0.0179542000,seconds
Execution time for 11 locations:,0.0175260000,seconds
Execution time for 11 locations:,0.0177062000,seconds
Execution time for 11 locations:,0.0176195000,seconds
Execution time for 11 locations:,0.0165227000,seconds
Execution time for 11 locations:,0.0171288000,seconds
Execution time for 11 locations:,0.0173999000,seconds
Execution time for 11 locations:,0.0172009000,seconds
Execution time for 11 locations:,0.0169815000,seconds
Execution time for 11 locations:,0.0169892000,seconds
Execution time for 11 locations:,0.0164227000,seconds
Execution time for 11 locations:,0.0170833000,seconds
Execution time for 11 locations:,0.0161764000,seconds
Execution time for 11 locations:,0.0168770000,seconds
Execution time for 11 locations:,0.0178365000,seconds
Execution time for 11 locations:,0.0172058000,seconds
Execution time for 11 locations:,0.0181934000,seconds
Execution time for 11 locations:,0.0176330000,seconds
Execution time for 11 locations:,0.0169920000,seconds
Execution time for 11 locations:,0.0163742000,seconds
Execution time for 11 locations:,0.0163661000,seconds
Execution time for 11 locations:,0.0171108000,seconds
Execution time for 11 locations:,0.0170904000,seconds
Execution time for 11 locations:,0.0166901000,seconds
Execution time for 11 locations:,0.0166881000,seconds
Execution time for 11 locations:,0.0162540000,seconds
Execution time for 11 locations:,0.0170325000,seconds
Execution time for 11 locations:,0.0170355000,seconds
Execution time for 11 locations:,0.0170734000,seconds
Execution time for 11 locations:,0.0178017000,seconds
Execution time for 11 locations:,0.0143421000,seconds
Execution time for 11 locations:,0.0150551000,seconds
Execution time for 11 locations:,0.0166583000,seconds
Execution time for 11 locations:,0.0180705000,seconds
Execution time for 11 locations:,0.0170920000,seconds
Execution time for 11 locations:,0.0171418000,seconds
Execution time for 11 locations:,0.0169945000,seconds
Execution time for 11 locations:,0.0171604000,seconds
Execution time for 11 locations:,0.0200565000,seconds
Execution time for 11 locations:,0.0177057000,seconds
Execution time for 11 locations:,0.0169117000,seconds
Execution time for 11 locations:,0.0176424000,seconds
Execution time for 11 locations:,0.0168408000,seconds
Execution time for 11 locations:,0.0178244000,seconds
Execution time for 11 locations:,0.0180152000,seconds
Execution time for 11 locations:,0.0168847000,seconds
Execution time for 11 locations:,0.0169130000,seconds
Execution time for 11 locations:,0.0172672000,seconds
Execution time for 11 locations:,0.0141058000,seconds
Execution time for 11 locations:,0.0136585000,seconds
Execution time for 11 locations:,0.0166091000,seconds
Execution time for 11 locations:,0.0171131000,seconds
Execution time for 11 locations:,0.0141451000,seconds
Execution time for 11 locations:,0.0144174000,seconds
Execution time for 11 locations:,0.0139426000,seconds
Execution time for 11 locations:,0.0172802000,seconds
Execution time for 11 locations:,0.0173497000,seconds
Execution time for 11 locations:,0.0198271000,seconds
Execution time for 11 locations:,0.0181318000,seconds
Execution time for 11 locations:,0.0147767000,seconds
Execution time for 11 locations:,0.0133126000,seconds
Execution time for 11 locations:,0.0173478000,seconds
Execution time for 11 locations:,0.0170646000,seconds
Execution time for 11 locations:,0.0179639000,seconds
Execution time for 11 locations:,0.0167185000,seconds
Execution time for 11 locations:,0.0176922000,seconds
Execution time for 11 locations:,0.0168638000,seconds
Execution time for 11 locations:,0.0186326000,seconds
Execution time for 11 locations:,0.0181978000,seconds
Execution time for 11 locations:,0.0174698000,seconds
Execution time for 11 locations:,0.0169349000,seconds
Execution time for 11 locations:,0.0174298000,seconds
Execution time for 11 locations:,0.0173224000,seconds
Execution time for 11 locations:,0.0162110000,seconds
Execution time for 11 locations:,0.0179331000,seconds
Execution time for 11 locations:,0.0172188000,seconds
Execution time for 11 locations:,0.0167997000,seconds
Execution time for 11 locations:,0.0166244000,seconds
Execution time for 11 locations:,0.0164683000,seconds
Execution time for 11 locations:,0.0164715000,seconds
Execution time for 11 locations:,0.0169225000,seconds
Execution time for 11 locations:,0.0174713000,seconds
Execution time for 11 locations:,0.0167066000,seconds
Execution time for 11 locations:,0.0177628000,seconds
Execution time for 11 locations:,0.0176509000,seconds
Execution time for 11 locations:,0.0173244000,seconds
Execution time for 11 locations:,0.0187503000,seconds
Execution time for 11 locations:,0.0223360000,seconds
Execution time for 11 locations:,0.0164029000,seconds
Execution time for 11 locations:,0.0174707000,seconds
Execution time for 11 locations:,0.0182943000,seconds
Execution time for 11 locations:,0.0164111000,seconds
Execution time for 11 locations:,0.0168218000,seconds
Execution time for 11 locations:,0.0180819000,seconds
Execution time for 11 locations:,0.0175785000,seconds
