Delete,time,delete2
Execution time for 11 locations over 50 runs:,0.5865719000,seconds
Execution time for 11 locations over 50 runs:,0.5374622000,seconds
Execution time for 11 locations over 50 runs:,0.5226402000,seconds
Execution time for 11 locations over 50 runs:,0.7389530000,seconds
Execution time for 11 locations over 50 runs:,0.7380411000,seconds
Execution time for 11 locations over 50 runs:,0.7107239000,seconds
Execution time for 11 locations over 50 runs:,0.6657503000,seconds
Execution time for 11 locations over 50 runs:,0.5486254000,seconds
Execution time for 11 locations over 50 runs:,0.6989590000,seconds
Execution time for 11 locations over 50 runs:,0.7590779000,seconds
Execution time for 11 locations over 50 runs:,0.7303885000,seconds
Execution time for 11 locations over 50 runs:,0.6503176000,seconds
Execution time for 11 locations over 50 runs:,0.6858282000,seconds
Execution time for 11 locations over 50 runs:,0.7331510000,seconds
Execution time for 11 locations over 50 runs:,0.7441878000,seconds
Execution time for 11 locations over 50 runs:,0.7245043000,seconds
Execution time for 11 locations over 50 runs:,0.6771889000,seconds
Execution time for 11 locations over 50 runs:,0.6196029000,seconds
Execution time for 11 locations over 50 runs:,0.7460960000,seconds
Execution time for 11 locations over 50 runs:,1.7300740000,seconds
Execution time for 11 locations over 50 runs:,2.1282750000,seconds
Execution time for 11 locations over 50 runs:,1.2538349000,seconds
Execution time for 11 locations over 50 runs:,1.9302895000,seconds
Execution time for 11 locations over 50 runs:,1.9948765000,seconds
Execution time for 11 locations over 50 runs:,0.7305017000,seconds
Execution time for 11 locations over 50 runs:,0.7582485000,seconds
Execution time for 11 locations over 50 runs:,0.7160923000,seconds
Execution time for 11 locations over 50 runs:,0.6985191000,seconds
Execution time for 11 locations over 50 runs:,0.7617017000,seconds
Execution time for 11 locations over 50 runs:,0.7008148000,seconds
Execution time for 11 locations over 50 runs:,0.7404891000,seconds
Execution time for 11 locations over 50 runs:,0.6904470000,seconds
Execution time for 11 locations over 50 runs:,0.7240185000,seconds
Execution time for 11 locations over 50 runs:,0.7184690000,seconds
Execution time for 11 locations over 50 runs:,0.7470444000,seconds
Execution time for 11 locations over 50 runs:,0.7464374000,seconds
Execution time for 11 locations over 50 runs:,0.7372500000,seconds
